# AS641 communities taken from https://onestep.net/communities/as6461/
6461:8060,Customer in OMA1
6461:8061,Customer in SAT1
6461:8062,Customer in PHX15
6461:8063,Customer in DTW3

6461:2200,Peer in AMS (Amsterdam, NL)
6461:2201,Peer in APC (Napa, CA)
6461:2202,Peer in ATL (Atlanta, GA)
6461:2203,Peer in BOS (Boston, MA)
6461:2204,Peer in CDG (Paris, FR)
6461:2205,Peer in CPH (Copenhagen, DK)
6461:2206,Peer in DCA (Washington, DC)
6461:2207,Peer in DFW (Dallas, TX)
6461:2208,Peer in DUB (Dublin, IE)
6461:2209,Peer in EWR (Pennsauken, NJ)
6461:2210,Peer in FRA (Frankfurt, DE)
6461:2211,Peer in IAD (Vienna, VA)
6461:2212,Peer in IAH (Houston, TX)
6461:2213,Peer in LAX (Los Angeles, CA)
6461:2214,Peer in LGA (New York, NY)
6461:2215,Peer in LHR (London, UK)
6461:2216,Peer in HND (Tokyo, JP)
6461:2217,Peer in NUQ (Moffett Field, CA)
6461:2218,Peer in ORD (Chicago, IL)
6461:2219,Peer in PAO (Palo Alto, CA)
6461:2220,Peer in SEA (Seattle, WA)
6461:2221,Peer in SFO (San Francisco, CA)
6461:2222,Peer in SJC (San Jose, CA)
6461:2223,Peer in SQL (Redwood City, CA)
6461:2224,Peer in VIE (Vienna, AT)
6461:2225,Peer in PHL (Philadelphia, PA)
6461:2226,Peer in PHX (Phoenix, AZ)
6461:2227,Peer in AUS (Austin, TX)
6461:2228,Peer in BWI (Baltimore, MD)
6461:2229,Peer in PDX (Portland, OR)
6461:2230,Peer in MIA (Miami, FL)
6461:2231,Peer in LAS (Las Vegas, NV)
6461:2232,Peer in BDL (Hartford, CT)
6461:2233,Peer in DEN (Denver, CO)
6461:2234,Peer in TOR (Toronto, Can)
6461:2235,Peer in SLC (Salt Lake City, UT)
6461:2236,Peer in MSP (Minneapolis, MN)
6461:2237,Peer in BNA (Nashville, TN)
6461:2238,Peer in MEM (Memphis, TN)
6461:2239,Peer in JZR (Laurel, MT)
6461:2240,Peer in KCY (Kansas City, MO)
6461:2241,Peer in PIT (Pittsburgh, PA)
6461:2242,Peer in ABI (Abilene, TX)
6461:2243,Peer in ABQ (Albuquerque, NM)
6461:2244,Peer in AMA (Amarillo, TX)
6461:2245,Peer in ALT (Allentown, PA)
6461:2246,Peer in BIL (Billings, MT)
6461:2247,Peer in BIS (Bismark, ND)
6461:2248,Peer in BOI (Boise, ID)
6461:2249,Peer in BRE (Brewster, WA)
6461:2250,Peer in BSN (Basin, WY)
6461:2251,Peer in BTH (Bethlehem, PA)
6461:2252,Peer in BZN (Bozeman, MT)
6461:2253,Peer in COS (Colorado Springs, CO)
6461:2254,Peer in CPR (Casper, WY)
6461:2255,Peer in CYS (Cheyenne, WY)
6461:2256,Peer in EAT (East Wenatchee, WA)
6461:2257,Peer in ELP (El Paso, TX)
6461:2258,Peer in FAR (Fargo, ND)
6461:2259,Peer in GNG (Gooding, ID)
6461:2260,Peer in HLN (Helena, MT)
6461:2261,Peer in IND (Indianapolis, IN)
6461:2262,Peer in JZN (Quincy, WA)
6461:2263,Peer in LAN (Lansing, MI)
6461:2264,Peer in LAU (Laurel, MT)
