# https://bgp.tools/communities/13335
13335:10376,PoP: lhr09
13335:10377,PoP: lhr10
13335:10378,PoP: lhr11
13335:10380,PoP: sod01
13335:10381,PoP: cfc01
13335:10382,PoP: nrt05
13335:10384,PoP: dmm02
13335:10385,PoP: cnf01
13335:10386,PoP: ewr05
13335:10388,PoP: ewr07
13335:10390,PoP: fln01
13335:10391,PoP: bnu01
13335:10392,PoP: itj01
13335:10393,PoP: qwj01
13335:10394,PoP: rgn03
13335:10396,PoP: hak01
13335:10397,PoP: ord06
13335:10398,PoP: ord07
13335:10399,PoP: lim04
13335:10400,PoP: aqg01
13335:10401,PoP: hak02
13335:10402,PoP: can05
13335:10403,PoP: gyn01
13335:10404,PoP: dme04
13335:10405,PoP: lim03
13335:10406,PoP: cgy01
13335:10407,PoP: ccp01
13335:10408,PoP: nrt07
13335:10409,PoP: bel01
13335:10410,PoP: sin07
13335:10411,PoP: sin06
13335:10412,PoP: sin08
13335:10413,PoP: iad08
13335:10414,PoP: pat01
13335:10415,PoP: ord08
13335:10416,PoP: ssa02
13335:10417,PoP: led02
13335:10419,PoP: msq01
13335:10420,PoP: ams05
13335:10422,PoP: amd01
13335:10423,PoP: sjp01
13335:10424,PoP: mao01
13335:10425,PoP: bbi01
13335:10426,PoP: dlc02
13335:10427,PoP: evn02
13335:10428,PoP: qro02
13335:10429,PoP: knu01
13335:10430,PoP: hyd02
13335:10431,PoP: jdo01
13335:10432,PoP: ixc01
13335:10433,PoP: khv01
13335:10435,PoP: cnx01
13335:10437,PoP: acc01
13335:10438,PoP: sdq01
13335:10439,PoP: tlv02
13335:10440,PoP: hkg05
13335:10441,PoP: jed02
13335:10443,PoP: icn03
13335:10444,PoP: tsn06
13335:10445,PoP: lax05
13335:10446,PoP: lax06
13335:10447,PoP: lax07
13335:10448,PoP: nrt08
13335:10449,PoP: foc03
13335:10450,PoP: gye02
13335:10451,PoP: bts01
13335:10452,PoP: ewr08
13335:10453,PoP: bom06
13335:10454,PoP: maa03
13335:10455,PoP: kix03
13335:10456,PoP: lya02
13335:10458,PoP: sjp02
13335:10460,PoP: gig05
13335:10461,PoP: sjw02
13335:10462,PoP: tlv03
13335:10463,PoP: sgn03
13335:10464,PoP: sjc05
13335:10465,PoP: sjc06
13335:10466,PoP: sjc07
13335:10467,PoP: sjc08
13335:10469,PoP: hba01
13335:10470,PoP: fra06
13335:10471,PoP: fra07
13335:10472,PoP: fra08
13335:10473,PoP: nng02
13335:10474,PoP: ebl01
13335:10475,PoP: tas01
13335:10476,PoP: joi01
13335:10477,PoP: udi01
13335:10478,PoP: fuk01
13335:10479,PoP: hfa01
13335:10480,PoP: bkk06
13335:10481,PoP: chc01
13335:10482,PoP: geo01
13335:10483,PoP: jog01
13335:10484,PoP: hyd04
13335:10485,PoP: oka01
13335:10486,PoP: oua01
13335:10487,PoP: gru07
13335:10488,PoP: gru08
13335:10489,PoP: llk01
13335:10490,PoP: syd04
13335:10491,PoP: syd05
13335:10492,PoP: syd06
13335:10493,PoP: syd07
13335:10494,PoP: cgq01
13335:10495,PoP: gbe01
13335:10496,PoP: kul03
13335:10497,PoP: sin09
13335:10498,PoP: gru09
13335:10499,PoP: crk01
13335:10500,PoP: eze03
13335:10502,PoP: lca03
13335:10503,PoP: kld01
13335:10504,PoP: pig02
13335:10505,PoP: pig03
13335:10506,PoP: can08
13335:10507,PoP: atl06
13335:10508,PoP: atl07
13335:10509,PoP: atl08
13335:10510,PoP: atl09
13335:10511,PoP: xnh01
13335:10512,PoP: bsr01
13335:10513,PoP: njf01
13335:10514,PoP: tsn07
13335:10515,PoP: poa04
13335:10516,PoP: mnl04
13335:10517,PoP: aus09
13335:10518,PoP: aus04
13335:10519,PoP: nbo02
13335:10520,PoP: ams06
13335:10521,PoP: ams07
13335:10522,PoP: ams08
13335:10523,PoP: icn05
13335:10524,PoP: eze04
13335:10525,PoP: mxp03
13335:10526,PoP: cgb01
13335:10527,PoP: poa05
13335:10528,PoP: for04
13335:10529,PoP: dac06
13335:10530,PoP: dac07
13335:10531,PoP: aus08
13335:10532,PoP: cdg07
13335:10533,PoP: cdg08
13335:10534,PoP: cdg09
13335:10535,PoP: ask01
13335:10537,PoP: cdg10
13335:10538,PoP: cdg11
13335:10539,PoP: aus05
13335:10540,PoP: bgw03
13335:10541,PoP: sea05
13335:10542,PoP: sea06
13335:10543,PoP: sea08
13335:10544,PoP: bgw05
13335:10545,PoP: cgk03
13335:10546,PoP: for03
13335:10547,PoP: tia01
13335:10548,PoP: bgw06
13335:10549,PoP: jnb02
13335:10550,PoP: vno02
13335:10551,PoP: ebl02
13335:10553,PoP: yty03
13335:10555,PoP: ams13
13335:10556,PoP: ams15
13335:10557,PoP: dfw05
13335:10558,PoP: dfw06
13335:10559,PoP: dfw08
13335:10560,PoP: khh02
13335:10561,PoP: gig07
13335:10562,PoP: gig06
13335:10563,PoP: xiy05
13335:10564,PoP: zgn01
13335:10565,PoP: wuh02
13335:10566,PoP: doh02
13335:10567,PoP: man03
13335:10568,PoP: mad05
13335:10569,PoP: pig01
13335:10570,PoP: lhr12
13335:10571,PoP: bkk07
13335:10572,PoP: iad09
13335:10573,PoP: iad10
13335:10574,PoP: khh01
13335:10575,PoP: csx06
13335:10576,PoP: tyn01
13335:10577,PoP: mrs03
13335:10578,PoP: bom08
13335:10579,PoP: bom09
13335:10580,PoP: isu01
13335:10581,PoP: hkg08
13335:10582,PoP: hkg09
13335:10583,PoP: hkg10
13335:10585,PoP: sof02
13335:10586,PoP: nvt01
13335:10587,PoP: gru10
13335:10588,PoP: uln03
13335:10589,PoP: jnb03
13335:10590,PoP: cpt02
13335:10591,PoP: amd02
13335:10592,PoP: mnl07
13335:10593,PoP: mle02
13335:10594,PoP: kix04
13335:10595,PoP: cok02
13335:10596,PoP: phl02
13335:10597,PoP: gru11
13335:10598,PoP: gru13
13335:10599,PoP: rec02
13335:10600,PoP: bah02
13335:10601,PoP: iad11
13335:10602,PoP: hyn03
13335:10604,PoP: adb01
13335:10605,PoP: ist05
13335:10606,PoP: mru02
13335:10607,PoP: evn03
13335:10608,PoP: fra10
13335:10609,PoP: fra11
13335:10610,PoP: ktm04
13335:10611,PoP: ktm05
13335:10612,PoP: ord10
13335:10613,PoP: bel02
13335:10614,PoP: ppt01
13335:10616,PoP: lad02
13335:10617,PoP: cnf03
13335:10618,PoP: lax08
13335:10619,PoP: lax09
13335:10620,PoP: hyd05
13335:10621,PoP: fsd01
13335:10622,PoP: scl05
13335:10623,PoP: del07
13335:10624,PoP: whu01
13335:10625,PoP: mct02
13335:10626,PoP: iad12
13335:10627,PoP: str01
13335:10628,PoP: ntg02
13335:10629,PoP: abq01
13335:10631,PoP: sin11
13335:10632,PoP: sin12
13335:10633,PoP: sin13
13335:10634,PoP: gua02
13335:10635,PoP: bgw07
13335:10636,PoP: fra12
13335:10637,PoP: fra13
13335:10638,PoP: kul04
13335:10639,PoP: gye04
13335:10640,PoP: cnf04
13335:10641,PoP: dfw07
13335:10642,PoP: bsb03
13335:10643,PoP: sof03
13335:10644,PoP: kin01
13335:10645,PoP: hfa02
13335:10646,PoP: atl10
13335:10647,PoP: lad03
13335:10648,PoP: vix01
13335:10649,PoP: ewr11
13335:10650,PoP: ewr13
13335:10651,PoP: isb02
13335:10652,PoP: fih01
13335:10653,PoP: bgr01
13335:10654,PoP: gdl01
13335:10655,PoP: eze05
13335:10657,PoP: sjk01
13335:10658,PoP: ord11
13335:10659,PoP: aus11
13335:10660,PoP: xmn02
13335:10661,PoP: kul05
13335:10662,PoP: amm02
13335:10663,PoP: lys01
13335:10665,PoP: icn06
13335:10666,PoP: orn02
13335:10667,PoP: pkx03
13335:10669,PoP: pkx04
13335:10670,PoP: bom10
13335:10671,PoP: caw01
13335:10672,PoP: khi05
13335:10673,PoP: tbs02
13335:10674,PoP: mao02
13335:10675,PoP: alg02
13335:10676,PoP: cnn01
13335:10677,PoP: bom11
13335:10678,PoP: del04
13335:10679,PoP: bom12
13335:10680,PoP: del05
13335:10681,PoP: dps01
13335:10682,PoP: wux03
13335:10683,PoP: bsb02
13335:10684,PoP: yyz03
13335:10685,PoP: tpe05
13335:10686,PoP: tpe06
13335:10687,PoP: khi04
13335:10688,PoP: mnl05
13335:10689,PoP: aae01
13335:10690,PoP: bog03
13335:10691,PoP: orn01
13335:10693,PoP: aus13
13335:10694,PoP: mci03
13335:10695,PoP: ktm06
13335:10696,PoP: fra14
13335:10697,PoP: czx02
13335:10698,PoP: szx04
13335:10699,PoP: kwe04
13335:10700,PoP: lhe02
13335:10701,PoP: ynj01
13335:10702,PoP: tna04
13335:10703,PoP: hgh05
13335:10704,PoP: jnb04
13335:10705,PoP: skp01
13335:10706,PoP: bsb04
13335:10707,PoP: lis04
13335:10708,PoP: nbo03
13335:10709,PoP: jed03
13335:10710,PoP: bgi01
13335:10711,PoP: den03
13335:10712,PoP: den04
13335:10713,PoP: bod01
13335:10714,PoP: kiv02
13335:10715,PoP: cai02
13335:10716,PoP: sat01
13335:10717,PoP: han04
13335:10718,PoP: cwb02
13335:10719,PoP: atl11
13335:10720,PoP: xap01
13335:10721,PoP: vie05
13335:10722,PoP: gru14
13335:10723,PoP: okc01
13335:10724,PoP: dfw09
13335:10725,PoP: vie06
13335:10726,PoP: cle01
13335:10727,PoP: cdg12
13335:10728,PoP: gru17
13335:10729,PoP: gru18
13335:10730,PoP: gru16
13335:10731,PoP: sea07
13335:10732,PoP: rdu02
13335:10733,PoP: sjo02
13335:10734,PoP: cgk05
13335:10735,PoP: ord12
13335:10736,PoP: lhr14
13335:10737,PoP: kmg01
13335:10738,PoP: ktm07
13335:10739,PoP: hgh06
13335:10740,PoP: sin14
13335:10741,PoP: sin15
13335:10742,PoP: gbe02
13335:10743,PoP: anc01
13335:10744,PoP: kmg02
13335:10745,PoP: sea09
13335:10746,PoP: dac12
13335:10747,PoP: tyn02
13335:10748,PoP: aus14
13335:10749,PoP: kmg03
13335:10750,PoP: dac10
13335:10751,PoP: suv01
13335:10752,PoP: rec01
13335:10753,PoP: bhy01
13335:10754,PoP: dac08
13335:10755,PoP: gig08
13335:10756,PoP: xfn01
13335:10757,PoP: ckg02
13335:10758,PoP: ctu06
13335:10759,PoP: dlc03
13335:10760,PoP: wds02
13335:10761,PoP: hfe02
13335:10762,PoP: nrt09
13335:10763,PoP: nrt10
13335:10764,PoP: wdh01
13335:10765,PoP: maa04
13335:10766,PoP: maa05
13335:10767,PoP: kix05
13335:10768,PoP: kix06
13335:10769,PoP: cnf02
13335:10770,PoP: hkg06
13335:10771,PoP: yhz02
13335:10772,PoP: rao02
13335:10773,PoP: amm03
13335:10774,PoP: ams16
13335:10775,PoP: mba02
13335:10776,PoP: dac13
13335:10777,PoP: nbo04
13335:10778,PoP: xnn02
13335:10780,PoP: csx07
13335:10781,PoP: cgo05
13335:10782,PoP: cgo06
13335:10783,PoP: jxg02
13335:10784,PoP: xiy06
13335:10785,PoP: yyz04
13335:10786,PoP: yyz06
13335:10787,PoP: sju01
13335:10788,PoP: jnb05
13335:10789,PoP: dar02
13335:10790,PoP: cnf05
13335:10791,PoP: sti01
13335:10792,PoP: lpb01
13335:10793,PoP: lhr13
13335:10794,PoP: dac09
13335:10795,PoP: bgw09
13335:10796,PoP: bgw08
13335:10797,PoP: foc04
13335:10798,PoP: uio02
13335:10799,PoP: mnl06
13335:10800,PoP: tao01
13335:10801,PoP: foc01
13335:10802,PoP: hny01
13335:10803,PoP: szx01
13335:10804,PoP: she01
13335:10805,PoP: lya01
13335:10806,PoP: hgh01
13335:10807,PoP: jxg01
13335:10808,PoP: tsn01
13335:10809,PoP: can01
13335:10810,PoP: ctu01
13335:10811,PoP: nay01
13335:10812,PoP: xiy01
13335:10813,PoP: sjw01
13335:10814,PoP: cgo01
13335:10815,PoP: nng01
13335:10816,PoP: fuo01
13335:10817,PoP: szv01
13335:10818,PoP: tna01
13335:10819,PoP: wuh01
13335:10820,PoP: wux01
13335:10821,PoP: xiy02
13335:10822,PoP: tao02
13335:10823,PoP: csx01
13335:10824,PoP: can02
13335:10825,PoP: sha01
13335:10826,PoP: sha02
13335:10827,PoP: nbg01
13335:10828,PoP: sha03
13335:10829,PoP: ckg01
13335:10830,PoP: tsn02
13335:10831,PoP: tsn03
13335:10832,PoP: szx02
13335:10897,PoP: pek99
13335:10898,PoP: can99
13335:10899,PoP: hkg99
13335:10900,PoP: scrub_pvg01
13335:10901,PoP: scrub_szx01
13335:10902,PoP: baq01
13335:10903,PoP: dme05
13335:10904,PoP: dme06
13335:10905,PoP: han03
13335:10906,PoP: waw03
13335:10907,PoP: sgn04
13335:10908,PoP: pmw01
13335:10909,PoP: bog02
13335:10910,PoP: dus02
13335:10911,PoP: dad01
13335:10912,PoP: abj01
13335:10913,PoP: man04
13335:10915,PoP: nng03
13335:10916,PoP: ctu07
13335:10917,PoP: csx08
13335:10918,PoP: dub02
13335:10919,PoP: dub03
13335:10920,PoP: zrh02
13335:10921,PoP: dac04
13335:10923,PoP: waw04
13335:10924,PoP: aru01
13335:10925,PoP: iad14
13335:10926,PoP: ebb01
13335:10927,PoP: mad06
13335:10928,PoP: fra15
13335:10929,PoP: fra16
13335:10930,PoP: fra17
13335:10931,PoP: fra18
13335:10932,PoP: fra19
13335:10933,PoP: fra20
13335:10934,PoP: clo01
13335:10935,PoP: ten02
13335:10936,PoP: pos01
13335:10937,PoP: gig09
13335:10938,PoP: yhz01
13335:10939,PoP: cgk04
13335:10942,PoP: mel02
13335:10943,PoP: ssa03
13335:10944,PoP: nqz01
13335:10945,PoP: dac11
13335:10946,PoP: dac14
13335:10947,PoP: kbp03
13335:10949,PoP: mnl08
13335:10950,PoP: mrs04
13335:10951,PoP: mrs05
13335:10952,PoP: gig10
13335:10954,PoP: dar03
13335:10955,PoP: kch01
13335:10956,PoP: eze06
13335:10957,PoP: xfn02
13335:10958,PoP: pdx07
13335:10960,PoP: ord14
13335:10961,PoP: sin16
13335:10962,PoP: sin17
13335:10963,PoP: sin18
13335:10964,PoP: sin19
13335:10965,PoP: sin20
13335:10966,PoP: nrt12
13335:10967,PoP: akx01
13335:10968,PoP: cgk06
13335:10969,PoP: ktm08
13335:10970,PoP: bkk08
13335:10971,PoP: acc02
13335:10972,PoP: otp02
13335:10973,PoP: dfw11
13335:10974,PoP: dfw13
13335:10975,PoP: hkg11
13335:10976,PoP: hkg12
13335:10977,PoP: mxp04
13335:10978,PoP: mxp05
13335:10979,PoP: mxp06
13335:10980,PoP: mia07
13335:10983,PoP: ist08
13335:10984,PoP: lhr15
13335:10985,PoP: lhr16
13335:10986,PoP: cdg13
13335:10987,PoP: cdg14
13335:10988,PoP: pdx03
13335:10989,PoP: lhr18
13335:10990,PoP: lhr19
13335:10991,PoP: lhr20
13335:10992,PoP: vie07
