# From AS3216 whois

# External
# Location / Peer
3216:4338,Internal prefixes originated in Irkutsk Region
3216:4339,Internal prefixes originated in Kaliningrad Region
3216:4340,Internal prefixes originated in Kaluga Region
3216:4341,Internal prefixes originated in Kamchatka Region
3216:4342,Internal prefixes originated in Kemerovo Region
3216:4343,Internal prefixes originated in Kirov Region
3216:4344,Internal prefixes originated in Kostroma Region
3216:4345,Internal prefixes originated in Kurgan Region
3216:4346,Internal prefixes originated in Kursk Region
3216:4347,Internal prefixes originated in Leningrad Region
3216:4348,Internal prefixes originated in Lipetsk Region
3216:4349,Internal prefixes originated in Magadan Region
3216:4350,Internal prefixes originated in Moscow Region
3216:4351,Internal prefixes originated in Murmansk Region
3216:4352,Internal prefixes originated in Nizhny Novgorod Region
3216:4353,Internal prefixes originated in Novgorod Region
3216:4354,Internal prefixes originated in Novosibirsk Region
3216:4355,Internal prefixes originated in Omsk Region
3216:4356,Internal prefixes originated in Orenburg Region
3216:4357,Internal prefixes originated in Oryol Region
3216:4358,Internal prefixes originated in Penza Region
3216:4359,Internal prefixes originated in Perm Region
3216:4360,Internal prefixes originated in Pskov Region
3216:4361,Internal prefixes originated in Rostov Region
3216:4362,Internal prefixes originated in Ryazan Region
3216:4363,Internal prefixes originated in Samara Region
3216:4364,Internal prefixes originated in Saratov Region
3216:4365,Internal prefixes originated in Sakhalin Region
3216:4366,Internal prefixes originated in Sverdlovsk Region
3216:4367,Internal prefixes originated in Smolensk Region
3216:4368,Internal prefixes originated in Tambov Region
3216:4369,Internal prefixes originated in Tver Region
3216:4370,Internal prefixes originated in Tomsk Region
3216:4371,Internal prefixes originated in Tula Region
3216:4372,Internal prefixes originated in Tyumen Region
3216:4373,Internal prefixes originated in Ulyanovsk Region
3216:4374,Internal prefixes originated in Chelyabinsk Region
3216:4375,Internal prefixes originated in Chita Region
3216:4376,Internal prefixes originated in Yaroslavl Region
3216:4377,Internal prefixes originated in Moscow
3216:4378,Internal prefixes originated in Saint Petersburg
3216:4379,Internal prefixes originated in Jewish Autonomous Region
3216:4383,Internal prefixes originated in Nenets Autonomous Okrug
3216:4386,Internal prefixes originated in Khanty-Mansi Autonomous Okrug
3216:4387,Internal prefixes originated in Chukotka Autonomous Okrug
3216:4389,Internal prefixes originated in Yamalo-Nenets Autonomous Okrug
3216:4390,Internal prefixes originated in Azerbaijan
3216:4395,Internal prefixes originated in Chechen Republic
3216:4401,External prefixes originated in Republic of Adygea
3216:4402,External prefixes originated in Republic of Bashkortostan
3216:4403,External prefixes originated in Buryat Republic
3216:4404,External prefixes originated in Altai Republic
3216:4405,External prefixes originated in Republic of Dagestan
3216:4406,External prefixes originated in Republic of Ingushetia
3216:4407,External prefixes originated in Kabardino-Balkar Republic
3216:4408,External prefixes originated in Republic of Kalmykia
3216:4409,External prefixes originated in Karachay-Cherkess Republic
3216:4410,External prefixes originated in Republic of Karelia
3216:4411,External prefixes originated in Komi Republic
3216:4412,External prefixes originated in Mari El Republic
3216:4413,External prefixes originated in Republic of Mordovia
3216:4414,External prefixes originated in Sakha Republic
3216:4415,External prefixes originated in Republic of North Ossetia-Alania
3216:4416,External prefixes originated in Republic of Tatarstan
3216:4417,External prefixes originated in Tuva Republic
3216:4418,External prefixes originated in Udmurt Republic
3216:4419,External prefixes originated in Republic of Khakassia
3216:4421,External prefixes originated in Chuvash Republic
3216:4422,External prefixes originated in Altai Krai
3216:4423,External prefixes originated in Krasnodar Krai
3216:4424,External prefixes originated in Krasnoyarsk Krai
3216:4425,External prefixes originated in Primorsky Krai
3216:4426,External prefixes originated in Stavropol Krai
3216:4427,External prefixes originated in Khabarovsk Krai
3216:4428,External prefixes originated in Amur Region
3216:4429,External prefixes originated in Arkhangelsk Region
3216:4430,External prefixes originated in Astrakhan Region
3216:4431,External prefixes originated in Belgorod Region
3216:4432,External prefixes originated in Bryansk Region
3216:4433,External prefixes originated in Vladimir Region
3216:4434,External prefixes originated in Volgograd Region
3216:4435,External prefixes originated in Vologda Region
3216:4436,External prefixes originated in Voronezh Region
3216:4437,External prefixes originated in Ivanovo Region
3216:4438,External prefixes originated in Irkutsk Region
3216:4439,External prefixes originated in Kaliningrad Region
3216:4440,External prefixes originated in Kaluga Region
3216:4441,External prefixes originated in Kamchatka Region
3216:4442,External prefixes originated in Kemerovo Region
3216:4443,External prefixes originated in Kirov Region
3216:4444,External prefixes originated in Kostroma Region
3216:4445,External prefixes originated in Kurgan Region
3216:4446,External prefixes originated in Kursk Region
3216:4447,External prefixes originated in Leningrad Region
3216:4448,External prefixes originated in Lipetsk Region
3216:4449,External prefixes originated in Magadan Region
3216:4450,External prefixes originated in Moscow Region Obsoleted
3216:4451,External prefixes originated in Murmansk Region
3216:4452,External prefixes originated in Nizhny Novgorod Region
3216:4453,External prefixes originated in Novgorod Region
3216:4454,External prefixes originated in Novosibirsk Region
3216:4455,External prefixes originated in Omsk Region
3216:4456,External prefixes originated in Orenburg Region
3216:4457,External prefixes originated in Oryol Region
3216:4458,External prefixes originated in Penza Region
3216:4459,External prefixes originated in Perm Region
3216:4460,External prefixes originated in Pskov Region
3216:4461,External prefixes originated in Rostov Region
3216:4462,External prefixes originated in Ryazan Region
3216:4463,External prefixes originated in Samara Region
3216:4464,External prefixes originated in Saratov Region
3216:4465,External prefixes originated in Sakhalin Region
3216:4466,External prefixes originated in Sverdlovsk Region
3216:4467,External prefixes originated in Smolensk Region
3216:4468,External prefixes originated in Tambov Region
3216:4469,External prefixes originated in Tver Region
3216:4470,External prefixes originated in Tomsk Region
3216:4471,External prefixes originated in Tula Region
3216:4472,External prefixes originated in Tyumen Region
3216:4473,External prefixes originated in Ulyanovsk Region
3216:4474,External prefixes originated in Chelyabinsk Region
3216:4475,External prefixes originated in Chita Region
3216:4476,External prefixes originated in Yaroslavl Region
3216:4477,External prefixes originated in Moscow
3216:4478,External prefixes originated in Saint Petersburg
3216:4479,External prefixes originated in Jewish Autonomous Region
3216:4483,External prefixes originated in Nenets Autonomous Okrug
3216:4486,External prefixes originated in Khanty-Mansi Autonomous Okrug
3216:4487,External prefixes originated in Chukotka Autonomous Okrug
3216:4489,External prefixes originated in Yamalo-Nenets Autonomous Okrug
3216:4490,External prefixes originated in Azerbaijan
3216:4495,External prefixes originated in Chechen Republic
3216:4499,External prefixes originated in Stockholm
3216:4610,Internal prefixes originated in Armenia
3216:4611,Internal prefixes originated in Armenia Yerevan
3216:4620,Internal prefixes originated in Kazakhstan
3216:4621,Internal prefixes originated in Kazakhstan Almaty
3216:4622,Internal prefixes originated in Kazakhstan Shymkent
3216:4630,Internal prefixes originated in Kyrgyzstan
3216:4631,Internal prefixes originated in Kyrgyzstan Bishkek
3216:4640,Internal prefixes originated in Tadjikistan
3216:4641,Internal prefixes originated in Tadjikistan Dushanbe
3216:4710,External prefixes originated in Armenia
3216:4711,External prefixes originated in Armenia Yerevan
3216:4720,External prefixes originated in Kazakhstan
3216:4721,External prefixes originated in Kazakhstan Almaty
3216:4722,External prefixes originated in Kazakhstan Shymkent
3216:4730,External prefixes originated in Kyrgyzstan
3216:4731,External prefixes originated in Kyrgyzstan Bishkek
3216:4740,External prefixes originated in Tadjikistan
3216:4741,External prefixes originated in Tadjikistan Dushanbe
